,epoch,tag,variable,value,training_time,sem_variant
20817,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2059009470701803,826.7978039259258,full
20818,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2120007496441747,826.7978039259258,full
20819,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2037993907896555,826.7978039259258,full
20820,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2115197029248428,826.7978039259258,full
20821,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2227222959479034,826.7978039259258,full
20822,81,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2189958323934268,826.7978039259258,full
20823,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,,826.7978039259258,full
20824,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1951516257531623,826.7978039259258,full
20825,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1916579978370836,826.7978039259258,full
20826,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.2026340996605521,826.7978039259258,full
20827,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1798119522572558,826.7978039259258,full
20828,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1778813200367494,826.7978039259258,full
20829,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1990754965534761,826.7978039259258,full
20830,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1868862098223148,826.7978039259258,full
20831,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1743793575971474,826.7978039259258,full
20832,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1920837903805996,826.7978039259258,full
20833,81,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.2028670767385651,826.7978039259258,full
20834,41,april_17_always_s1140_1E-01_5E+05,mi_shuffle,,419.91400145679006,full
20835,41,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.2298902631256989,419.91400145679006,full
20836,41,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1959180941936593,419.91400145679006,full
20837,41,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1978819464513833,419.91400145679006,full
20838,41,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.1848213325932935,419.91400145679006,full
20839,41,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.209022906574764,419.91400145679006,full
20840,41,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.2161116459174043,419.91400145679006,full
20841,41,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.2269149294738357,419.91400145679006,full
20842,41,april_17_always_s1140_1E-01_5E+05,mi_shuffle,0.2096787241332585,419.91400145679006,full
